image,critical,high,total
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.7.0,0,0,0
ghcr.io/kube-vip/kube-vip-iptables:v0.8.1,0,0,0
longhornio/backing-image-manager:v1.7.2,0,12,12
longhornio/csi-attacher:v4.7.0,0,0,0
longhornio/csi-node-driver-registrar:v2.12.0,0,0,0
longhornio/csi-provisioner:v4.0.1-20241007,0,0,0
longhornio/csi-resizer:v1.12.0,0,0,0
longhornio/csi-snapshotter:v7.0.2-20241007,0,0,0
longhornio/livenessprobe:v2.14.0,0,0,0
longhornio/longhorn-cli:v1.7.2,0,2,2
longhornio/longhorn-engine:v1.7.2,0,9,9
longhornio/longhorn-instance-manager:v1.7.2,0,9,9
longhornio/longhorn-manager:v1.7.2,0,3,3
longhornio/longhorn-share-manager:v1.7.2,0,2,2
longhornio/longhorn-ui:v1.7.2,0,4,4
longhornio/support-bundle-kit:v0.0.45,0,2,2
rancher/fleet-agent:v0.10.4,0,0,0
rancher/fleet:v0.10.4,0,7,7
rancher/gitjob:v0.9.8,0,13,13
rancher/hardened-addon-resizer:1.8.20-build20241001,0,0,0
rancher/hardened-calico:v3.29.0-build20241104,0,3,3
rancher/hardened-cluster-autoscaler:v1.8.11-build20241014,0,0,0
rancher/hardened-cni-plugins:v1.6.0-build20241022,0,0,0
rancher/hardened-coredns:v1.11.3-build20241018,0,0,0
rancher/hardened-dns-node-cache:1.23.1-build20241008,0,2,2
rancher/hardened-etcd:v3.5.16-k3s1-build20241106,0,0,0
rancher/hardened-flannel:v0.26.0-build20241024,0,7,7
rancher/hardened-k8s-metrics-server:v0.7.1-build20241008,0,0,0
rancher/hardened-kubernetes:v1.30.7-rke2r1-build20241126,0,0,0
rancher/hardened-multus-cni:v4.1.3-build20241028,0,0,0
rancher/harvester-cluster-repo:v1.4.1,0,2,2
rancher/harvester-eventrouter:v0.3.3,0,0,0
rancher/harvester-load-balancer-webhook:v0.4.4,0,3,3
rancher/harvester-load-balancer:v0.4.4,0,3,3
rancher/harvester-network-controller:v0.5.6,0,5,5
rancher/harvester-network-helper:v0.5.6,0,4,4
rancher/harvester-network-webhook:v0.5.6,0,4,4
rancher/harvester-networkfs-manager:v0.1.2,0,1,1
rancher/harvester-node-disk-manager-webhook:v0.7.8,0,1,1
rancher/harvester-node-disk-manager:v0.7.8,0,1,1
rancher/harvester-node-manager-webhook:v0.3.3,0,5,5
rancher/harvester-node-manager:v0.3.3,0,5,5
rancher/harvester-pcidevices:v0.4.1,0,2,2
rancher/harvester-seeder:v0.4.1,0,2,2
rancher/harvester-upgrade:v1.4.1,0,2,2
rancher/harvester-vm-import-controller:v0.4.1,0,9,9
