image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
registry.rancher.com/suse-observability/container-tools:1.8.6-566580fb-main-107,observability-agent/v1.3.40,liblzma5,5.4.1-150600.3.3.1,sles,SUSE-SU-2026:2051-1,HIGH,,registry.rancher.com/suse-observability/container-tools:1.8.6-566580fb-main-107 (sles 15.7),5.4.1-150600.3.6.1,false,affected,
registry.rancher.com/suse-observability/generic-sidecar-injector:ddfbfbc4-58-release,observability-agent/v1.3.40,liblzma5,5.4.1-150600.3.3.1,sles,SUSE-SU-2026:2051-1,HIGH,,registry.rancher.com/suse-observability/generic-sidecar-injector:ddfbfbc4-58-release (sles 15.7),5.4.1-150600.3.6.1,false,affected,
registry.rancher.com/suse-observability/kubernetes-rbac-agent:e78c10a7-736-release,observability-agent/v1.3.40,glibc,2.40-160000.4.1,sles,SUSE-SU-2026:21807-1,HIGH,,registry.rancher.com/suse-observability/kubernetes-rbac-agent:e78c10a7-736-release (sles 16.0),2.40-160000.5.1,false,affected,
registry.rancher.com/suse-observability/promtail:3.6.10-566580fb-main-72,observability-agent/v1.3.40,liblzma5,5.4.1-150600.3.3.1,sles,SUSE-SU-2026:2051-1,HIGH,,registry.rancher.com/suse-observability/promtail:3.6.10-566580fb-main-72 (sles 15.7),5.4.1-150600.3.6.1,false,affected,
