image,critical,high,total
longhornio/backing-image-manager:v1.8.x-head,2,43,45
longhornio/csi-attacher:v4.9.0,0,11,11
longhornio/csi-node-driver-registrar:v2.14.0,0,12,12
longhornio/csi-provisioner:v5.3.0,0,9,9
longhornio/csi-resizer:v1.13.2,0,9,9
longhornio/csi-snapshotter:v8.2.0,0,9,9
longhornio/livenessprobe:v2.16.0,0,11,11
longhornio/longhorn-cli:v1.8.x-head,2,24,26
longhornio/longhorn-engine:v1.8.x-head,4,63,67
longhornio/longhorn-instance-manager:v1.8.x-head,6,63,69
longhornio/longhorn-manager:v1.8.x-head,4,26,30
longhornio/longhorn-share-manager:v1.8.x-head,3,28,31
longhornio/longhorn-ui:v1.8.x-head,2,31,33
longhornio/support-bundle-kit:v0.0.58,2,37,39
