image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32280,HIGH,https://avd.aquasec.com/nvd/cve-2026-32280,pod_nanny,"1.25.9, 1.26.2",false,affected,
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,pod_nanny,0.36.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,pod_nanny,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,golang.org/x/oauth2,v0.24.0,gobinary,CVE-2025-22868,HIGH,https://avd.aquasec.com/nvd/cve-2025-22868,pod_nanny,0.27.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-27142,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-27142,pod_nanny,"1.25.8, 1.26.1",false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32282,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32282,pod_nanny,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32288,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32288,pod_nanny,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32289,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32289,pod_nanny,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_present
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32280,HIGH,https://avd.aquasec.com/nvd/cve-2026-32280,cluster-proportional-autoscaler,"1.25.9, 1.26.2",false,affected,
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,golang.org/x/net,v0.36.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,cluster-proportional-autoscaler,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,golang.org/x/oauth2,v0.23.0,gobinary,CVE-2025-22868,HIGH,https://avd.aquasec.com/nvd/cve-2025-22868,cluster-proportional-autoscaler,0.27.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-27142,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-27142,cluster-proportional-autoscaler,"1.25.8, 1.26.1",false,not_affected,vulnerable_code_not_present
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32282,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32282,cluster-proportional-autoscaler,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32288,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32288,cluster-proportional-autoscaler,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_present
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32289,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32289,cluster-proportional-autoscaler,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_present
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,busybox,1.37.0-150700.18.12.1,sles,SUSE-SU-2026:0759-1,HIGH,,rancher/hardened-coredns:v1.14.1-build20260206 (sles 15.7),1.37.0-150700.18.15.1,false,affected,
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,glibc,2.38-150600.14.40.1,sles,SUSE-SU-2026:1369-1,HIGH,,rancher/hardened-coredns:v1.14.1-build20260206 (sles 15.7),2.38-150600.14.46.1,false,affected,
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,github.com/coredns/coredns,v1.14.1,gobinary,CVE-2026-26017,HIGH,https://avd.aquasec.com/nvd/cve-2026-26017,coredns,1.14.2,false,affected,
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,github.com/coredns/coredns,v1.14.1,gobinary,CVE-2026-26018,HIGH,https://avd.aquasec.com/nvd/cve-2026-26018,coredns,1.14.2,false,affected,
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,google.golang.org/grpc,v1.78.0,gobinary,CVE-2026-33186,HIGH,https://avd.aquasec.com/nvd/cve-2026-33186,coredns,1.79.3,false,affected,severity_changed_due_to_suse_cvss_score
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32280,HIGH,https://avd.aquasec.com/nvd/cve-2026-32280,coredns,"1.25.9, 1.26.2",false,affected,
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,go.opentelemetry.io/otel/sdk,v1.38.0,gobinary,CVE-2026-24051,HIGH,https://avd.aquasec.com/nvd/cve-2026-24051,coredns,1.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,go.opentelemetry.io/otel/sdk,v1.38.0,gobinary,CVE-2026-39883,HIGH,https://avd.aquasec.com/nvd/cve-2026-39883,coredns,1.43.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-coredns:v1.14.1-build20260206,rke2/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-32282,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32282,coredns,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-dns-node-cache:1.26.7-build20260206,rke2/v1.32.13,busybox,1.37.0-150700.18.12.1,sles,SUSE-SU-2026:0759-1,HIGH,,rancher/hardened-dns-node-cache:1.26.7-build20260206 (sles 15.7),1.37.0-150700.18.15.1,false,affected,
rancher/hardened-dns-node-cache:1.26.7-build20260206,rke2/v1.32.13,glibc,2.38-150600.14.40.1,sles,SUSE-SU-2026:1369-1,HIGH,,rancher/hardened-dns-node-cache:1.26.7-build20260206 (sles 15.7),2.38-150600.14.46.1,false,affected,
